1qfsdf,واحد
2qfsdf,إثنان
3qfsdf,ثلاثة
4qfsdf,أربع
5qfsdf,خمس
6qfsdf,ست
7qfsdf,سبع
8qfsdf,ثمان
9qfsdf,تسع
10qfsdf,عَشَر
11qfsdf,أحَدَ عَشَر
12qfsdf,إثنا عَشَر
13qfsdf,ثلاثة عَشَر
14qfsdf,أربَعة عَشَر
15qfsdf,خَمْسة عَشَر
16qfsdf,سِتّة عَشَر
17qfsdf,سَبْعة عَشَر
18qfsdf,ثَمانية عَشَر
19qfsdf,تِسْعة عَشَر
%,نسبه مئويه
1 application,تطبيق واحد
1 application,تطبيق واحد
1 application 2 fois/jour pd 10 jours,تطبيق واحد مرتين في اليوم لمدة 10 أيام
1 application au massage leger 2 fois/jour,تطبيق واحد على التدليك الخفيف مرتين في اليوم
1 application au massage leger 3 fois/jour,تطبيق واحد على التدليك الخفيف 3 مرات / يوم
1 application deux fois/jour,تطبيق واحد مرتين في اليوم
1 application le soir 1 jour/2,تطبيق واحد في المساء 1 يوم / 2
1 application matin et soir,تطبيق الصباح والمساء
1 cac,ملعقة شاي
1 cac 3 fois/jour,ملعقة شاي 3 مرات / يوم
1 cas,ملعقة طعام
1 cas 3 fois/jour,ملعقة طعام 3 مرات / يوم
1 cp,حبة واحدة
1 cp 3 fois par jour,حبة واحدة 3 مرات / يوم
1 cp 3 fois/jour,حبة واحدة 3 مرات / يوم
1 cp 3 x/jour,حبة واحدة 3 مرات / يوم
1 cuillere a cafe,ملعقة شاي
1 cuillere a cafe 3 fois/jour,ملعقة شاي 3 مرات / يوم
1 cuillere a soupe,ملعقة طعام
1 cuillere a soupe 3 fois/jour,ملعقة طعام 3 مرات / يوم
1 fois,مرة واحدة
1 gel,كبسولة واحدة
1 gel 3 x/j,كبسولة واحدة 3 مرات / يوم
1 gelule,كبسولة واحدة
1 gelule 3 x/jour,كبسولة واحدة 3 مرات / يوم
1 IDR,تفاعل داخل الجلد
1 injection IM,حقنة عضلية واحدة
1 injection IM 3 fois/j pd 10 j,حقنة عضلية واحدة 3 مرات في اليوم لمدة عشرة أيام
1 injection IM profonde unique,حقنة واحدة عميقة داخل العضلات
1 injection IM profonde unique,حقنة واحدة عميقة داخل العضلات
1 injection IM unique,حقنة واحدة داخل العضلات
1 injection IM unique,حقنة واحدة داخل العضلات
1 injection Intra musculaire,حقنة عضلية واحدة
1 injection Intra musculaire 3 fois/j,حقنة عضلية واحدة 3 مرات في اليوم
1 injection Intra veineuse lente chaque 4 heures,حقن بطيئة في الوريد كل 4 ساعات
1 injection Intra veineuse lente chaque 6 heures,حقن بطيئة في الوريد كل 6 ساعات
1 injection intra-dermo-reaction,تفاعل داخل الجلد
1 injection s/c,حقنة تحت الجلد
1 injection sous-cutanee,حقنة تحت الجلد
1 perfusion,حقن
1 perfusion du Serum glucose en 4 heures,4 ساعات من حقن مصل الجلوكوز
1 perfusion du Serum glucose en 6 heures,6 ساعات من حقن مصل الجلوكوز
1 perfusion du Serum sale,ضخ المصل المالح
1 suppo,تحميلة واحدة
1 suppo,تحميلة واحدة
1 suppo 3 fois/jour,تحميلة واحدة 3 مرات / يوم
1 suppo chaque 4 heures,تحميلة واحدة كل 4 ساعات
1 suppo chaque 6 heures,تحميلة واحدة كل 6 ساعات
1 suppo le soir au coucher,تحميلة واحدة في المساء في وقت النوم
1-1-1,قرص واحد 3 مرات / يوم
1-1-1,قرص واحد 3 مرات / يوم
1-1-1 pd 10 jours,حقنة عضلية واحدة 3 مرات في اليوم لمدة عشرة أيام
1-1-1 pd 10 jours,حقنة عضلية واحدة 3 مرات في اليوم لمدة عشرة أيام
2 fois,مرتين
2 semaines,أسبوعين
20 graduations,عشرين تدريجة
20 graduations 3 fois/jour,عشرين تدريجة 3 مرات / يوم
20-20-20,عشرين تدريجة 3 مرات / يوم
20-20-20 apres repas,عشرين تدريجة 3 مرات / يوم بعد الوجبات
20-20-20 avant repas,عشرين تدريجة 3 مرات / يوم قبل الوجبة
3 fois,ثلاثة مرات
3 semaines,ثلاثة اسابيع
4 fois,أربع مرات
4 jours,اربعة ايام
4 semaines,أربعة أسابيع
5 fois,خمس مرات
5 jours,خمسة أيام
5 semaines,خمسة اسابيع
6 fois,ست مرات
6 jours,ستة أيام
6 semaines,ستة أسابيع
7 fois,سبع مرات
7 jours,أسبوع واحد
8 fois,ثمان مرات
9 foi,تسع مرات
av,قبل
aa,من كل
abdominale,في البطن
ac,قبل الأكل
AD,الأذن اليمنى
ad.,حتى
ad. lib.,في الإرادة أو في الاختيار
ADULTE,شخص بالغ
AGUETTANT,محقق
AL,الأذن اليسرى
AM,قبل الظهر
amp,أمبولة
AMPOULE,زجاجة
AMPOULES,زجاجات
an,عام
ANNEAU,حلقة
aphtes,القروح
aphtes,القروح
appl,تطبيق
APPLICATION CUTANeE,تطبيق الجلد
apres repas,بعد الوجبات
apres repas,بعد الوجبات
apres,بعد
apres le repas,بعد الوجبة
apres le repas,بعد الوجبة
ASP,البطن بدون تحضير
ASP:Abdomen sans prepartion,البطن بدون تحضير
Au coucher,عند النوم
Au coucher,عند النوم
au massage leger,على التدليك الخفيف
au milieu du repas,في منتصف الوجبة
au milieu du repas,في منتصف الوجبة
avant,قبل
avant midi,قبل الظهر
avant midi,قبل الظهر
avant repas,قبل الوجبة
application,تطبيق
AVC,السكتة الدماغية
bain de bouche,غسول الفم
bain de bouche,غسول الفم
boite,علبة
boites,علب
BUCCAL,عن طريق الفم
BUCCALE,فموي
BUVABLE,يشرب
Ca,ورم سرطاني
cac,ملعقة صغيرة
cad,ملعقة صغيرة
cal.,السعرات الحرارية
caps,كبسولة
CAPSULE,كبسولة
CARTON,علبة
CARTOUCHE,خرطوشة
CARTOUCHES,شحنة
cas,ملعقة كبيرة
cave,انتباه
chaque,كل
cm,كريم
COLLYRE,قطرات للعين
COLLYREDE,كوليرد
comp,مركب من
COMPRIMES,أقراص
COMPRIMeS,أقراص الدواء
conc,مركز
CONTENANT,تحتوي
cp,حبة
cpr,حبة
CReME,كريم
CUTANe,جلدي
C°,مئوية
D,يمين
D tal dos,إعطاء هذه الجرعات
D'UN,من
D.l.,جرعة مميتة
d.s.,الاستغناء
DCD,ميت
DCI,اسم دولي غير مملوك
ddc,كلا الجانبين
DE,من
DENTAIRE,الأسنان
DERMIQUE,جلدي
diam,قطر
dispersible,متحلل
dispersible,متحلل
DISPOSITIF,جهاز
DNR,لا تنعش
dose,جرعة
dose,جرعة
DOSE,جرعة
DOSES,الجرعات
DOSeES,جرعات
DRAGeE,مجروح
DRAGeIFIe,ملبس
drg,لوز مسكر
du,ل
DU,من
durant,مدة
durant,مدة
Dx,مؤلم
e.m.p.,حسب الوصفة
Echographie,الموجات فوق الصوتية
effervescent,فوار
EMULSION,مستحلب
en,خلال
EN,في
EN VERRE,زجاج
ENROBe,مغطى
ENROBeS,ملففة
ENROBeS,مغلفة
entre les repas,بين الوجبات
entre les repas,بين الوجبات
et,و
EXPECTORANT,طارد للبلغم
ext.,خارجي
f/j,مرات / يوم
face et profil,أمامية و جانبية
flacon,زجاجة
FLACONS,زجاجات
fois par jour,مرات في يوم
fois/jour,مرات/يوم
fois/jour,مرات/يوم
FORTE,فورت
g,غرام
G,غرام
G.,أيسر
GASTRO,إختصاصي في الأمعاء
GASTROReSISTANT,مقاومة المعدة
GEL,جل
genou,الركبة
gl,كبسولة
GOUTTE,قطرة
GOUTTES,قطرات
GRAMMES,جرامات
gran,حبيبات
GRANULe,حبيبة
gtte,قطرة
GeLULE,كبسولة
gelules,برشامة
h,ساعة
hemi,نصف
heures,ساعات
HM,HM
HORMONAL,هرموني
hs,في وقت النوم
i.c.,بين الوجبات
i.e.,هذا يعني
I.V,ضموريدي
ia,داخل الشرايين
ibid,في نفس المكان
id,داخل الأدمة
IDR,تفاعل داخل الجلد
im,في العضل
IM,عضلية
IMPLANT,زرع
INHALATION,استنشاق
INHALATION BUCCALE,استنشاق فموي
inj,عن طريق الحقن
INJECTABLE,قابل للحقن
INJECTABLES,عن طريق الحقن
Injection,حقنة
injection,حقنة طبية
INN,الاسم الدولي غير التجاري
Intra musculaire,عضلية
INTRA UTeRIN,داخل الرحم
Intra veineuse lente,بطيئة في الوريد
intra-articulaire,داخل المفصل
intra-dermo-reaction,تفاعل داخل الجلد
inv,وريدي
IRM,التصوير بالرنين المغناطيسي
IRM,التصوير بالرنين المغناطيسي
IRM,التصوير بالرنين المغناطيسي
IRM abdominale,تصوير بالرنين المغناطيسي البطن
IRM abdominale,تصوير بالرنين المغناطيسي للبطن
IRM cerebrale,تصوير بالرنين المغناطيسي للدماغ
IRM cerebrale,تصوير بالرنين المغناطيسي للدماغ
IRM pelvienne,تصوير الحوض بالرنين المغناطيسي
IRM pelvienne,تصوير بالرنين المغناطيسي للحوض
IRM: Imagerie par resonance magnetique,التصوير بالرنين المغناطيسي
Irr,غير منتظم
/ jour,كل يوم
jour,يوم
jours,أيام
Jusqu’a,حتى
Jusqu’a,حتى
KVO,ضخ بطيء للغايةلإبقاء الوريد مفتوحًا
LAVAGE,غسل
lb,رطل
LCR,السائل الدماغي الشوكي
le matin,في الصباح
le matin,في الصباح
le soir,في المساء
LIBeRATION,تحرير
Lombalgie,آلام أسفل الظهر
LYOPHILISAT,الليوفيلات
LYOPHILISeE,تجميد المجفف
M D S,مزيج / الاستغناء / التسمية
M f,خلط / إعداد
matin,الصباح
matin,الصباح
mg,مغ
/MG,مغ\
MG/ML,مغ\مل
min.,دقيقة
ML,مل
MODIFIeE,تم التعديل
mois,أشهر
MOLLE,ناعم
MONODOSE,جرعة واحدة
N R,لا تجدد
NASAL,أنفي
NASALE,أنفي
Neo,ورم سرطاني
NTBR,لا تنعش
NeBULISEUR,رشاشة
o.d.,العين اليمنى
o.l.,العين اليسرى
o.u.,كلتا العينين
OH,عقيدة
OPHTALMIQUE,عيني
ORALE,عن طريق الفم
ORALE,عن طريق الفم
ORODISPERSIBLE,قابل للاختراق
ot.,بصري
OTC,بدون وصفة طبية
OXALIPLATINE,أوكسالي بلاتين
oz,28.3495g
p,بعد
p.m.,بعد الظهر
pans.,ضمادة
par,في
PARENTERAL,زرقي
PARENTeRAL,الوالدية
PATCH,رقعة قماشية
pc,بعد الوجبة
pd,يوميا
Pds,الوزن
PELLICULE,قشرة رقيقة
PELLICULe,مغلف
PELLICULeS,قشري
pelvienne,في الحوض
pendant,خلال
pendant,لمدة
PENFILL,في قلم
per os,عن طريق الفم
perfusion,ضخ
PERFUSION,نضح
Ph Franc,دستور الأدوية الفرنسي
Ph. Eur,دستور الأدوية الأوروبي
PILLULIER,بيلولير
pm,مرهم
po,شفويا
pommade,مرهم
POMMADE,مرهم
POUDRE,مسحوق
POUR,من أجل
POUR USAGE,للاستخدام
POURORALEDE,سيئ
prendre,أخَذَ
Priere de faire,افعل من فضلك
Priere de faire 10 seances de reeducation du genou,يرجى القيام بعشر جلسات لإعادة تأهيل الركبة
Priere de faire 10 seances de reeducation du Lombalgie,يرجى القيام بعشر جلسات لإعادة تأهيل آلام أسفل الظهر
Priere de faire :,يرجى القيام ب :
Priere de prendre :,يرجى أخذ :
prn,حسب الحاجة
PROLONGeE,فترة طويلة
PRe/REMPLIE,معبأ مسبقًا
PRe/REMPLIS,معبأة مسبقًا
PRePARATION,تجهيز
PReREMPLIE,مملوء
PReREMPLIES,شغلها مسبقا
Pt.,المريض
PULVIReSATION,رش
pulveriser,حطم
pulveriser,حطم
PÂTE,عجينة
PeDIATRIQUE,اخصائي اطفال
q,كل
q4h,كل أربع ساعات
qd,كل يوم
qh,كل ساعة
qhs,كل ليلة في وقت النوم
qid,أربع مرات في اليوم
qod,كل يومين
qs,بقدر ما يتطلبه الأمر
QUADRISeCABLE,قابل للقطع على أربعة أجزاء
R.X,الأشعة السينية
Radio,أشعة
Radio de l'epaule droit,أشعةالكتف الايمن
Radio du genou droit,أشعة للركبة اليمنى
Radio du poignet droit,أشعة المعصم الايمن
Radio pulmonaire,أشعة سينية رئوية
repas,الوجبات
repas,الوجبات
Rp,خذ
ReCIPIENT,إناء
ReCIPIENTS,العبوات
s,بدون
S.,التسمية
s.q.,بكميات كافية
s/c,تحت الجلد
S/C/I/M,تحجلدي ضمعضلي
sachet,كيس
sachet,كيس
SACHETS,أكياس
sans,بدون
sans,بدون
sc,تحت الجلد
seances de reeducation du,جلسات لإعادة تأهيل
sec.,تانية
SERINGUE,حقنة
SERINGUES,المحاقن
Serum glucose,مصل الجلوكوز
Serum sale,المصل المالح
sine conf,بدون التغليف الأصلي
sine litt,بدون تعليمات التعبئة والتغليف
SIROPDE,شراب مركز
sl,تحت اللسان
SODIQUE,سوديك
soir,مساء
soir,مساءا
SOLUTION,المحلول
SOLUTe,المحلول
SOLVANT,مذيب
sous-cutanee,تحت الجلد
sp,شراب
SPRAY,رشاش
stat,فورا
STYLOS,أقلام
STeRILE,عقيم
SULFATE,الحامض الكبريتي
suppo,تحميلة
SUPPOSITOIRE,تحميلة
sur,على
semaines,أسابيع
SUSPENSION,محلول
SYSTeME,نظام
SeCABLE,قابل للكسر
TA,الضغط الشرياني
tab,قرص
TAP,صدرية - بطن - بلفين
TAP,الصدر-البطن-الحوض
TAP:Thoraco-Abdomino-pelvien,صدرية - بطن - بلفين
tbc,السل
tbsp,ملعقة كبيرة
TDM,قياس كثافة البطن
TDM:Torso-densitometrie abdominale,قياس كثافة البطن
tid,ثلاث مرات في اليوم
TO,تلقى النظام عن طريق الهاتف
TP,مستوى البروثرومبين
TRANSDERMIQUE,عبر الجلد
tsp,ملعقة صغيرة
ttt,جارٍ المعالجة
tube,أنبوب
tube,أنبوب
TUBES,أنابيب
T°,درجة الحرارة
U,وحدة
ugt,مرهم
UI,الوحدة الدولية
UI/ML,وحدة في ملليلتر
une Echographie abdominale,الموجات فوق الصوتية في البطن
une Echographie pelvienne,الحوض بالموجات فوق الصوتية
une Radio ASP,راديو البطن بدون تحضير
une Radio de l'epaule droit face et profil,وجه الراديو الأيمن والوضع الجانبي
une Radio du genou droit face et profil,راديو للركبة اليمنى والوجه الجانبي
une Radio du poignet droit face et profil,وجه راديو معصم صحيح وملف تعريف
une Radio pulmonaire de face et profil,أشعة سينية رئوية أمامية و جانبية
une Radio TDM,راديو صدرية - بطن - بلفين
une semaine,أسبوع واحد
UNIDOSES,جرعة واحدة
USAGE,استعمال
V.R.,الجهاز التنفسي
VACCIN,لقاح
vag.,مهبلي
VAGINAUX,مهبلي
Vit,فيتامين
VO,أمر شفوي
x-x-x-..-x,مرات / يوم
x-x-x-..-x,مرات / يوم
x/j,مرات / يوم
x/jour,مرات / يوم
x/jour,مرات / يوم
a,في
a CROQUER,يلتهم
a DILUER,لتمييع
a LIBERATION,عند التحرير
a sucer,لامتصاص
a sucer,لامتصاص
ΜG/DOSE,مليغرام لكل جرعة